Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Network,Type
101765,7399,2668,1.0,PostNL,conventional,consolidated
101866,6955,2668,1.0,PostNL,conventional,consolidated
101870,4178,2668,1.0,PostNL,conventional,consolidated
101875,4178,2668,1.0,PostNL,conventional,consolidated
101907,4178,2668,1.0,PostNL,conventional,consolidated
101924,1044,2662,7.0,DHL,conventional,consolidated
101930,6767,2662,7.0,DHL,conventional,consolidated
101934,5501,2662,7.0,DHL,conventional,consolidated
101937,5501,2662,7.0,DHL,conventional,consolidated
102000,4178,2668,1.0,PostNL,conventional,consolidated
102013,6955,2668,1.0,PostNL,conventional,consolidated
102035,6955,2668,1.0,PostNL,conventional,consolidated
102045,4178,2668,1.0,PostNL,conventional,consolidated
102124,7366,4604,5.0,GLS,conventional,consolidated
102136,1044,2662,7.0,DHL,conventional,consolidated
102163,1044,2662,7.0,DHL,conventional,consolidated
102200,5514,4604,5.0,GLS,conventional,consolidated
102206,5514,4604,5.0,GLS,conventional,consolidated
102211,4178,2668,1.0,PostNL,conventional,consolidated
102243,6955,2668,1.0,PostNL,conventional,consolidated
102343,1044,2662,7.0,DHL,conventional,consolidated
102346,5501,2662,7.0,DHL,conventional,consolidated
102348,6767,2662,7.0,DHL,conventional,consolidated
102451,6955,2668,1.0,PostNL,conventional,consolidated
102468,4178,2668,1.0,PostNL,conventional,consolidated
102491,7399,2668,1.0,PostNL,conventional,consolidated
102493,7399,2668,1.0,PostNL,conventional,consolidated
102543,5501,2662,7.0,DHL,conventional,consolidated
102577,4178,2668,1.0,PostNL,conventional,consolidated
102616,6767,2662,7.0,DHL,conventional,consolidated
102627,1044,2662,7.0,DHL,conventional,consolidated
102748,4178,2668,1.0,PostNL,conventional,consolidated
102855,4137,4604,15.0,FedEx,conventional,consolidated
102880,1044,2662,7.0,DHL,conventional,consolidated
102927,4178,2668,1.0,PostNL,conventional,consolidated
102966,6955,2668,1.0,PostNL,conventional,consolidated
102978,4178,2668,1.0,PostNL,conventional,consolidated
103014,1044,2662,7.0,DHL,conventional,consolidated
103033,4178,2668,1.0,PostNL,conventional,consolidated
103073,4178,2668,1.0,PostNL,conventional,consolidated
103080,4178,2668,1.0,PostNL,conventional,consolidated
103140,3362,4604,13.0,UPS,conventional,consolidated
103161,4178,2668,1.0,PostNL,conventional,consolidated
103222,4178,2668,1.0,PostNL,conventional,consolidated
103253,4178,2668,1.0,PostNL,conventional,consolidated
103301,5501,2662,7.0,DHL,conventional,consolidated
103317,4178,2668,1.0,PostNL,conventional,consolidated
103346,5501,2662,7.0,DHL,conventional,consolidated
103409,6767,1044,7.0,DHL,conventional,consolidated
109237,5514,4604,5.0,GLS,conventional,consolidated
109245,7241,2662,7.0,DHL,conventional,consolidated
109256,4178,2668,1.0,PostNL,conventional,consolidated
109490,3362,4604,13.0,UPS,conventional,consolidated
109542,6955,2668,1.0,PostNL,conventional,consolidated
109558,6955,2668,1.0,PostNL,conventional,consolidated
109572,3362,4604,13.0,UPS,conventional,consolidated
109593,4137,4604,15.0,FedEx,conventional,consolidated
109596,5514,4604,5.0,GLS,conventional,consolidated
109636,5514,4604,5.0,GLS,conventional,consolidated
109730,5501,2662,7.0,DHL,conventional,consolidated
109761,3362,4604,13.0,UPS,conventional,consolidated
109788,5501,2662,7.0,DHL,conventional,consolidated
109794,7366,4604,5.0,GLS,conventional,consolidated
109855,6955,2668,1.0,PostNL,conventional,consolidated
109895,6767,2662,7.0,DHL,conventional,consolidated
109930,1044,2662,7.0,DHL,conventional,consolidated
109950,6955,2668,1.0,PostNL,conventional,consolidated
109983,5501,2662,7.0,DHL,conventional,consolidated
109988,4178,2668,1.0,PostNL,conventional,consolidated
109992,4604,5514,5.0,GLS,conventional,consolidated
110000,5501,2662,7.0,DHL,conventional,consolidated
110039,4604,5514,5.0,GLS,conventional,consolidated
110079,4178,2668,1.0,PostNL,conventional,consolidated
110088,5501,2662,7.0,DHL,conventional,consolidated
110113,5501,2662,7.0,DHL,conventional,consolidated
110128,7399,2668,1.0,PostNL,conventional,consolidated
110163,4178,2668,1.0,PostNL,conventional,consolidated
110250,1008,2662,7.0,DHL,conventional,consolidated
110287,4604,5514,5.0,GLS,conventional,consolidated
110291,7399,2668,1.0,PostNL,conventional,consolidated
110369,7399,2668,1.0,PostNL,conventional,consolidated
110376,4604,5514,5.0,GLS,conventional,consolidated
110415,5501,2662,7.0,DHL,conventional,consolidated
110528,2662,5501,7.0,DHL,conventional,consolidated
110551,2662,5501,7.0,DHL,conventional,consolidated
110585,1044,5501,7.0,DHL,conventional,consolidated
110663,1044,5501,7.0,DHL,conventional,consolidated
110693,4604,5514,5.0,GLS,conventional,consolidated
110763,4604,5514,5.0,GLS,conventional,consolidated
110808,4178,2668,1.0,PostNL,conventional,consolidated
110809,7399,2668,1.0,PostNL,conventional,consolidated
110815,1044,2662,7.0,DHL,conventional,consolidated
110930,5501,2662,7.0,DHL,conventional,consolidated
111045,4604,5514,5.0,GLS,conventional,consolidated
103476,1044,1008,7.0,DHL,conventional,consolidated
103588,4137,4604,15.0,FedEx,conventional,consolidated
103599,5501,1044,7.0,DHL,conventional,consolidated
103600,5501,1044,7.0,DHL,conventional,consolidated
103623,6955,2668,1.0,PostNL,conventional,consolidated
103640,2662,1008,7.0,DHL,conventional,consolidated
103676,5514,4604,5.0,GLS,conventional,consolidated
103685,1044,1008,7.0,DHL,conventional,consolidated
103692,5501,1008,7.0,DHL,conventional,consolidated
103781,5501,1044,7.0,DHL,conventional,consolidated
103819,4178,2668,1.0,PostNL,conventional,consolidated
103838,3362,4604,13.0,UPS,conventional,consolidated
103861,5501,1008,7.0,DHL,conventional,consolidated
103874,4137,4604,15.0,FedEx,conventional,consolidated
103895,4178,2668,1.0,PostNL,conventional,consolidated
103948,3362,4604,13.0,UPS,conventional,consolidated
103965,4178,2668,1.0,PostNL,conventional,consolidated
104001,6767,1044,7.0,DHL,conventional,consolidated
104026,3362,4604,13.0,UPS,conventional,consolidated
104074,6955,2668,1.0,PostNL,conventional,consolidated
104098,1008,1044,7.0,DHL,conventional,consolidated
104102,5514,4604,5.0,GLS,conventional,consolidated
104118,7399,2668,1.0,PostNL,conventional,consolidated
104131,5501,1044,7.0,DHL,conventional,consolidated
104199,6955,2668,1.0,PostNL,conventional,consolidated
104234,2662,1044,7.0,DHL,conventional,consolidated
104237,6767,1044,7.0,DHL,conventional,consolidated
104320,7366,4604,5.0,GLS,conventional,consolidated
104407,7366,4604,5.0,GLS,conventional,consolidated
104469,6955,2668,1.0,PostNL,conventional,consolidated
104510,5514,4604,5.0,GLS,conventional,consolidated
104610,6955,2668,1.0,PostNL,conventional,consolidated
104736,4137,4604,15.0,FedEx,conventional,consolidated
104748,4178,2668,1.0,PostNL,conventional,consolidated
104767,2662,1044,7.0,DHL,conventional,consolidated
104790,4137,4604,15.0,FedEx,conventional,consolidated
104796,6955,2668,1.0,PostNL,conventional,consolidated
104797,4178,2668,1.0,PostNL,conventional,consolidated
104846,1008,1044,7.0,DHL,conventional,consolidated
104914,7399,2668,1.0,PostNL,conventional,consolidated
104949,4178,2668,1.0,PostNL,conventional,consolidated
104977,1008,1044,7.0,DHL,conventional,consolidated
104984,5501,1044,7.0,DHL,conventional,consolidated
104989,1008,1044,7.0,DHL,conventional,consolidated
105007,4178,2668,1.0,PostNL,conventional,consolidated
105056,5501,1044,7.0,DHL,conventional,consolidated
105071,2662,1044,7.0,DHL,conventional,consolidated
105090,4178,2668,1.0,PostNL,conventional,consolidated
105141,5501,1044,7.0,DHL,conventional,consolidated
105206,1008,1044,7.0,DHL,conventional,consolidated
105218,1008,1044,7.0,DHL,conventional,consolidated
105222,1008,1044,7.0,DHL,conventional,consolidated
105278,4178,2668,1.0,PostNL,conventional,consolidated
105307,5501,1044,7.0,DHL,conventional,consolidated
105330,4178,2668,1.0,PostNL,conventional,consolidated
105367,4178,2668,1.0,PostNL,conventional,consolidated
105389,5501,1044,7.0,DHL,conventional,consolidated
105430,6955,2668,1.0,PostNL,conventional,consolidated
105470,7366,4604,5.0,GLS,conventional,consolidated
105539,4178,2668,1.0,PostNL,conventional,consolidated
105542,6955,2668,1.0,PostNL,conventional,consolidated
105588,3362,4604,13.0,UPS,conventional,consolidated
105596,5501,1044,7.0,DHL,conventional,consolidated
