Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Task
92324,4604,2305,14.0,DPD,Delivery
92349,2668,2305,1.0,PostNL,Delivery
92364,2668,2305,1.0,PostNL,Delivery
92365,2668,2305,1.0,PostNL,Delivery
92384,4604,2306,14.0,DPD,Delivery
92394,2668,2306,1.0,PostNL,Delivery
92430,2668,2309,1.0,PostNL,Delivery
92432,1044,2311,7.0,DHL,Delivery
92441,1044,2311,7.0,DHL,Delivery
92456,2668,2311,1.0,PostNL,Delivery
92475,4604,2311,14.0,DPD,Delivery
92495,4604,2312,14.0,DPD,Delivery
92502,2668,2312,1.0,PostNL,Delivery
92511,2668,2312,1.0,PostNL,Delivery
92533,4604,2313,14.0,DPD,Delivery
92542,2668,2313,1.0,PostNL,Delivery
92556,4604,2313,14.0,DPD,Delivery
92571,2668,2314,1.0,PostNL,Delivery
92575,1044,2315,7.0,DHL,Delivery
92582,1044,2315,7.0,DHL,Delivery
92583,1044,2315,7.0,DHL,Delivery
92584,1044,2315,7.0,DHL,Delivery
92588,1044,2315,7.0,DHL,Delivery
92621,2668,2315,1.0,PostNL,Delivery
92629,2668,2315,1.0,PostNL,Delivery
92637,2668,2315,1.0,PostNL,Delivery
92641,2668,2315,1.0,PostNL,Delivery
92646,2668,2315,1.0,PostNL,Delivery
92650,2668,2315,1.0,PostNL,Delivery
92654,2668,2315,1.0,PostNL,Delivery
92663,2668,2315,1.0,PostNL,Delivery
92683,1044,2316,7.0,DHL,Delivery
92689,1044,2316,7.0,DHL,Delivery
92697,1044,2316,7.0,DHL,Delivery
92703,1044,2316,7.0,DHL,Delivery
92710,1044,2316,7.0,DHL,Delivery
92713,1044,2316,7.0,DHL,Delivery
92727,1044,2316,7.0,DHL,Delivery
92762,4604,2316,14.0,DPD,Delivery
92767,4604,2316,14.0,DPD,Delivery
92781,4604,2316,14.0,DPD,Delivery
92785,4604,2316,14.0,DPD,Delivery
92787,4604,2316,14.0,DPD,Delivery
92813,2668,2316,1.0,PostNL,Delivery
92856,2668,2316,1.0,PostNL,Delivery
92889,2668,2316,1.0,PostNL,Delivery
92905,2668,2316,1.0,PostNL,Delivery
92910,2668,2316,1.0,PostNL,Delivery
92929,2668,2316,1.0,PostNL,Delivery
92953,2668,2316,1.0,PostNL,Delivery
92954,2668,2316,1.0,PostNL,Delivery
92959,4604,2316,14.0,DPD,Delivery
92978,4604,2316,14.0,DPD,Delivery
92983,1044,2317,7.0,DHL,Delivery
93012,4604,2318,14.0,DPD,Delivery
93042,2668,2319,1.0,PostNL,Delivery
93050,1044,2320,7.0,DHL,Delivery
93070,4604,2321,14.0,DPD,Delivery
93084,4604,2321,14.0,DPD,Delivery
93090,1044,2323,7.0,DHL,Delivery
93095,4604,2323,14.0,DPD,Delivery
93110,2668,2323,1.0,PostNL,Delivery
93140,1044,2324,7.0,DHL,Delivery
93144,1044,2324,7.0,DHL,Delivery
93147,1044,2324,7.0,DHL,Delivery
93159,4604,2324,14.0,DPD,Delivery
93170,4604,2324,14.0,DPD,Delivery
93190,2668,2324,1.0,PostNL,Delivery
93229,2668,2324,1.0,PostNL,Delivery
93235,2668,2324,1.0,PostNL,Delivery
93240,2668,2324,1.0,PostNL,Delivery
93243,2668,2324,1.0,PostNL,Delivery
93247,2668,2324,1.0,PostNL,Delivery
93284,4604,2327,14.0,DPD,Delivery
93286,2668,2327,1.0,PostNL,Delivery
93287,2668,2327,1.0,PostNL,Delivery
93294,1044,2330,7.0,DHL,Delivery
93295,1044,2330,7.0,DHL,Delivery
93323,2668,2330,1.0,PostNL,Delivery
93360,2668,2330,1.0,PostNL,Delivery
93369,1044,2331,7.0,DHL,Delivery
93378,1044,2331,7.0,DHL,Delivery
93379,1044,2331,7.0,DHL,Delivery
93389,4604,2331,14.0,DPD,Delivery
93397,2668,2331,1.0,PostNL,Delivery
93412,2668,2331,1.0,PostNL,Delivery
93421,2668,2331,1.0,PostNL,Delivery
93430,2668,2331,1.0,PostNL,Delivery
93435,4604,2331,14.0,DPD,Delivery
93439,1044,2332,7.0,DHL,Delivery
93457,4604,2332,14.0,DPD,Delivery
93471,2668,2332,1.0,PostNL,Delivery
93485,2668,2332,1.0,PostNL,Delivery
93488,2668,2332,1.0,PostNL,Delivery
93510,2668,2333,1.0,PostNL,Delivery
93525,1044,2334,7.0,DHL,Delivery
93526,1044,2334,7.0,DHL,Delivery
93534,4604,2334,14.0,DPD,Delivery
93536,4604,2334,14.0,DPD,Delivery
93554,2668,2334,1.0,PostNL,Delivery
93562,2668,2334,1.0,PostNL,Delivery
93582,1044,2335,7.0,DHL,Delivery
93589,1044,2335,7.0,DHL,Delivery
93596,1044,2335,7.0,DHL,Delivery
93599,4604,2335,14.0,DPD,Delivery
93603,4604,2335,14.0,DPD,Delivery
93607,4604,2335,14.0,DPD,Delivery
93622,2668,2335,1.0,PostNL,Delivery
93633,2668,2335,1.0,PostNL,Delivery
93635,2668,2335,1.0,PostNL,Delivery
93643,2668,2335,1.0,PostNL,Delivery
93658,2668,2335,1.0,PostNL,Delivery
93684,1044,2336,7.0,DHL,Delivery
93704,4604,2336,14.0,DPD,Delivery
93718,2668,2336,1.0,PostNL,Delivery
93724,2668,2336,1.0,PostNL,Delivery
93740,2668,2336,1.0,PostNL,Delivery
93752,2668,2336,1.0,PostNL,Delivery
93782,4604,2339,14.0,DPD,Delivery
93839,4604,2340,14.0,DPD,Delivery
93841,4604,2340,14.0,DPD,Delivery
93860,2668,2340,1.0,PostNL,Delivery
93883,2668,2340,1.0,PostNL,Delivery
93901,4604,2340,14.0,DPD,Delivery
93902,4604,2340,14.0,DPD,Delivery
93906,4604,2340,14.0,DPD,Delivery
93918,1044,2341,7.0,DHL,Delivery
93933,1044,2341,7.0,DHL,Delivery
93987,1044,2341,7.0,DHL,Delivery
93988,1044,2341,7.0,DHL,Delivery
93994,1044,2341,7.0,DHL,Delivery
94003,1044,2341,7.0,DHL,Delivery
94004,1044,2341,7.0,DHL,Delivery
94008,1044,2341,7.0,DHL,Delivery
94010,1044,2341,7.0,DHL,Delivery
94027,4604,2341,14.0,DPD,Delivery
94031,4604,2341,14.0,DPD,Delivery
94039,4604,2341,14.0,DPD,Delivery
94054,4604,2341,14.0,DPD,Delivery
94055,4604,2341,14.0,DPD,Delivery
94058,4604,2341,14.0,DPD,Delivery
94080,4604,2341,14.0,DPD,Delivery
94090,2668,2341,1.0,PostNL,Delivery
94097,2668,2341,1.0,PostNL,Delivery
